index	name	color
258	hipp-lh-hippocampus_parasubiculum	#ffff00
259	hipp-lh-hippocampus_presubiculum	#400040
260	hipp-lh-hippocampus_subiculum	#0000ff
261	hipp-lh-hippocampus_ca1	#ff0000
262	hipp-lh-hippocampus_ca3	#008000
263	hipp-lh-hippocampus_ca4	#c4a080
264	hipp-lh-hippocampus_gcdg	#20c8ff
265	hipp-lh-hippocampus_hata	#80ff80
266	hipp-lh-hippocampus_fimbria	#cc99cc
267	hipp-lh-hippocampus_molecular_layer_hp	#800000
268	hipp-lh-hippocampus_hippocampal_fissure	#8020ff
269	hipp-lh-hippocampus_tail	#aaaaff
270	vdc-lh-ventraldc	#a52a2a
271	hypo-lh-hypothalamus	#ccb68e
272	cer-lh-cerebellum	#e69422
273	brain-stem-midbrain	#f2684c
274	brain-stem-pons	#cec33a
275	brain-stem-medulla	#779fb0
276	brain-stem-scp	#8eb600
